"","cluster","topic_rank_in_cluster","topic_in_cluster","title","abstract","doi","id","topic_probability_in_doc"
"56","cold_topic_cluster_no_11","rank_2","765","Mean radiation fluxes in the near-IR spectral range: Algorithms for calculation","Algorithms are presented to compute the mean fluxes of shortwave radiation, modulated by statistically homogeneous broken clouds, in the near-IR spectral range (0.7-3.2 mu m). One method of the mean spectral flux computation consists of dividing the spectral interval in question into N-int subintervals according to the spectral resolution specified. The mean spectral fluxes are then calculated with the Monte Carlo method by assuming constant cloud optical characteristics within each subinterval. This last method (algorithm 1) accurately accounts for the spectral behavior of optical characteristics of clouds and atmospheric gases and can therefore be regarded as a reference. The mean spectral flux computations of high spectral resolution (say, Delta nu = 10-20 cm(-1)) may require several hundreds of spectral intervals. Therefore the method of dependent tests (algorithm 2) is proposed, which effectively uses notable features of the spectral dependence of cloud optical parameters, thus allowing significant simplifications and extra savings of computer time. Comparison of results from algorithms 1 and 2 shows that the mean radiant fluxes agree to within the relative computation error (3%). This indicates that algorithm 2 is reasonably accurate; in addition, its efficiency is several orders of magnitude better than that of the reference algorithm 1.","10.1029/96JD02218","92050","0.2096386"
"57","cold_topic_cluster_no_11","rank_2","765","Deriving inherent optical properties from decomposition of hyperspectral non-water absorption","Semi-analytical algorithms (SAAs) developed for multispectral ocean color sensors have benefited from a variety of approaches for retrieving the magnitude and spectral shape of inherent optical properties (IOPs). SAAs generally follow two approaches: 1) simultaneous retrieval of all IOPs, resulting in pre-defined bio-optical models and spectral dependence between IOPs and 2) retrieval of bulk IOPs (absorption and backscattering) first followed by decomposition into separate components, allowing for independent retrievals of some components. Current algorithms used to decompose hyperspectral remotely-sensed reflectance into IOPs follow the first strategy. Here, a spectral deconvolution algorithm for incorporation into the second strategy is presented that decomposes a(t-w)(lambda) from in situ measurements and estimates absorption due to phytoplankton (a(ph)(lambda)) and colored detrital material (a(dg)(lambda)) free of explicit assumptions. The algorithm described here, Derivative Analysis and Iterative Spectral Evaluation of Absorption (DAISEA), provides estimates of a(ph)(lambda) and a(dg)(lambda) over a spectral range from 350 to 700 nm. Estimated a(ph)(lambda) and a(dg)(lambda) showed an average normalized root mean square difference of < 30% and < 20%, respectively, from 350 to 650 nm for the majority of optically distinct environments considered. Estimated S-dg median difference was < 20% for all environments considered, while distribution of S-dg uncertainty suggests that biogeochemical variability represented by S-dg can be estimated free of bias. DAISEA results suggest that hyperspectral satellite ocean color data will improve our ability to track biogeochemical processes affiliated with variability in a(dg)(lambda) and S-dg free of explicit assumptions.","10.1016/j.rse.2019.03.004","26733","0.2274510"
"58","cold_topic_cluster_no_11","rank_2","765","Approach for determining the contributions of phytoplankton, colored organic material, and nonalgal particles to the total spectral absorption in marine waters","Using a data set of 1333 samples, we assess the spectral absorption relationships of different wave bands for phytoplankton (ph) and particles. We find that a nonlinear model (second-order quadratic equations) delivers good performance in describing their spectral characteristics. Based on these spectral relationships, we develop a method for partitioning the total absorption coefficient into the contributions attributable to phytoplankton [alpha(ph)(lambda)], colored dissolved organic material [CDOM; alpha(CDOM)(lambda)], and nonalgal particles [NAP; alpha(NAP)(lambda)]. This method is validated using a data set that contains 550 simultaneous measurements of phytoplankton, CDOM, and NAP from the NASA bio-Optical Marine Algorithm Dataset. We find that our method is highly efficient and robust, with significant accuracy: the relative root-mean-square errors (RMSEs) are 25.96%, 38.30%, and 19.96% for alpha(ph)(443), alpha(CDOM)(443), and the CDOM exponential slope, respectively. The performance is still satisfactory when the method is applied to water samples from the northern South China Sea as a regional case. The computed and measured absorption coefficients (167 samples) agree well with the RMSEs, i.e., 18.50%, 32.82%, and 10.21% for alpha(ph)(443), alpha(CDOM)(443), and the CDOM exponential slope, respectively. Finally, the partitioning method is applied directly to an independent data set (1160 samples) derived from the Bermuda Bio-Optics Project that contains relatively low absorption values, and we also obtain good inversion accuracy [RMSEs of 32.37%, 32.57%, and 11.52% for alpha(ph)(443), alpha(CDOM)(443), and the CDOM exponential slope, respectively]. Our results indicate that this partitioning method delivers satisfactory performance for the retrieval of alpha(ph), alpha(CDOM), and alpha(NAP). Therefore, this may be a useful tool for extracting absorption coefficients from in situ measurements or remotely sensed ocean-color data. ","10.1364/AO.52.004249","74206","0.2590164"
"59","cold_topic_cluster_no_11","rank_2","765","Variability of light absorption properties in optically complex inland waters of Lake Chaohu, China","Absorption coefficients of phytoplankton, colored detrital matter (CDM), non-algal particles (NAP), colored dissolved organic matter (CDOM), and their relative contributions to total non-water absorption (at,) are essential variables for bio-optical and radiative transfer models. Light absorption properties showed large range and variability sampled at 194 stations throughout Lake Chaohu between May 2013 and April 2015. The at was dominated by phytoplankton absorption (a(ph)) and NAP absorption (a(d)). The contribution of CDOM absorption to a(t -) (w) was lower than 30%. Phytoplankton and NAP were the primary sources of spatial and vertical variability in absorption properties. Light absorption by CDOM, though significant in magnitude, was relatively constant. CDM absorption (a(dg)) was dominated by NAP. The spatial variation of the absorption coefficients from each of the optically active constituents were driven by several main inflow rivers in the western and middle part of Lake Chaohu. Algal blooms and bottom resuspension contributed to vertical variability as observed by phytoplankton and NAP profiles. Specific absorption of phytoplankton had significant spatial and seasonal variations without vertical variation. The spectral slope of absorption showed no significant spatial variability (p > 0.05). Variations of absorption affected different ranges of remote sensing reflectance (R-rs) spectrum, thereby increasing the difficulty of applying the remote sensing algorithm in optically complex waters. Parameters and relationships presented in this study provide useful information for bio-optical models and remote sensing of lakes similar to Lake Chaohu in terms of optical properties. ","10.1016/j.jglr.2016.10.006","48595","0.2767857"
"60","cold_topic_cluster_no_11","rank_2","765","Covariance of the absorption of phytoplankton, colored dissolved organic matter, and detritus in case I waters, as deduced from the Coastal Zone Color Scanner bio-optical algorithm","The universal bio-optical algorithm of the Coastal Zone Color Scanner (CZCS) for case I waters implicitly contains an average covariance of the absorption by phytoplankton and colored dissolved organic matter (CDOM) and detritus. We made that covariance explicit by combining the CZCS algorithm with an expression for reflectance. The spectral variation of absorption by CDOM plus detritus for case I waters may be estimated by the expression a((gd)(lambda)) = 2a((ph)(443))*chl[exp[-0.013(lambda - 443)]}. ","10.1364/AO.35.002109","92231","0.3000000"
"61","cold_topic_cluster_no_11","rank_3","75","CO2 retrieval model and analysis in short-wave infrared spectrum","The global carbon dioxide hyperspectral remote sensing inversion system GF_VRTM is established for the greenhouse gas carbon dioxide remote sensing detection of GF-5 satellite. The validation and error analysis of global inversion is performed by using GF_VRTM with 21 June 2013 observation data of GOSAT-FTS in this study. The simulation results show that the CO2 averaged column concentrations (XCO2) overall trends are basically identical between GF_VRTM retrievals and GOSAT-FTS observations. There are 138 exposure points in whole observation points, and the relative error less than 2% is about 85%. The mean square error is 5.00 ppm, but the global average error is 1.09 ppm. If the assumption that GOSAT-FTS observation data is true, GF_VRTM satisfies the average precision requirements (less than 1%) of XCO2 global inversion. For the results of the comparison, the minimum error scenario and maximum error scenario are selected for error analysis. Error sources are smooth error, measurement noise error, the forward model parameter error and forward model error, respectively. For the minimum error scenario and maximum error scenario, the relative error of XCO2 inversion caused by smooth error and measurement noise error are 0.44% and -1.62%, respectively, and the relative error of XCO2 inversion caused by the forward model parameter error are -0.43% and -1.53%, respectively. At the same time, the forward model error is ignored. ","10.1016/j.ijleo.2016.01.144","61971","0.2580000"
"62","cold_topic_cluster_no_11","rank_3","75","Laplacian-Uniform Mixture-Driven Iterative Robust Coding With Applications to Face Recognition Against Dense Errors","Outliers due to occlusion, pixel corruption, and so on pose serious challenges to face recognition despite the recent progress brought by sparse representation. In this article, we show that robust statistics implemented by the state-of-the-art methods are insufficient for robustness against dense gross errors. By modeling the distribution of coding residuals with a Laplacian-uniform mixture, we obtain a sparse representation that is significantly more robust than the previous methods. The nonconvex error term of the implemented objective function is nondifferentiable at zero and cannot be properly addressed by the usual iteratively reweighted least-squares formulation. We show that an iterative robust coding algorithm can be derived by local linear approximation of the nonconvex error term, which is both effective and efficient. With iteratively reweighted l(1) minimization of the error term, the proposed algorithm is capable of handling the sparsity assumption of the coding errors more appropriately than the previous methods. Notably, it has the distinct property of addressing error detection and error correction cooperatively in the robust coding process. The proposed method demonstrates significantly improved robustness for face recognition against dense gross errors, either contiguous or discontiguous, as verified by extensive experiments.","10.1109/TNNLS.2019.2945372"," 6114","0.2609195"
"63","cold_topic_cluster_no_11","rank_3","75","ACM: An Energy-Efficient Accuracy Configurable Multiplier for Error-Resilient Applications","The multimedia applications such as image, audio and video processing allow approximation in computations, provided that, errors are of definite types and have austerities within confined limits, thus exhibiting error-resiliency. An approximate arithmetic circuit can be exploited to avail this error-resiliency for improving energy-efficiency. This paper presents an approximate multiplier that provides higher energy-efficiency at the cost of minor loss of accuracy. The proposed multiplier offers twofold improved performance because of reduced level of gates and curtailed inherent switched capacitances. Further, to achieve variable accuracy, an Accuracy Configurable Multiplier (ACM) algorithm is proposed that provides improved Speed-Power-Area-Accuracy (SPAA) metrics. The proposed ACM enables dynamic accuracy configurability via small error correction logic. Simulation results over accurate 8-bit multiplier indicate 57.37% and 25.17% reduced power and area, respectively. Moreover, accuracy configurability is achieved with only 10.5% and 12.32%, area and power overhead, respectively. Moreover, the proposed multiplier in real applications such as Gaussian smoothing filter attains better SPAA tradeoff over the existing approximate multipliers.","10.1007/s10836-017-5667-8","45414","0.2666667"
"64","cold_topic_cluster_no_11","rank_3","75","Error-Detection Enhanced Decoding of Difference Set Codes for Memory Applications","To prevent soft errors from causing data corruption, memories are typically protected with error correction codes (ECCs). For example, single-error correction (SEC) codes that can correct one error in a memory word are commonly used. More advanced ECCs are also used when additional protection is needed. While the error correction capability of a code is important, it is also important to detect errors that cannot be corrected to avoid silent data corruption. For example, in a SEC code, a double error may be misinterpreted as a single error and corrected, ending with an incorrect word. For that reason, codes that can also detect double errors are preferred. Those are known as SEC double-error-detection codes. The same reasoning applies to more advanced ECCs. Among those, difference set (DS) codes have shown interesting properties that enable an efficient implementation in terms of decoding latency and complexity. However, existing decoders for DS codes focus on error correction only, making them less attractive for memory protection. In this paper, modified decoding algorithms for DS codes are proposed that, in addition to error correction, provide error detection when the number of correctable bit errors is exceeded by one. This combined error detection and correction capability of the modified decoder makes the proposed scheme a promising option for memory applications. HDL implementation and synthesis results are included, showing that the proposed techniques can be efficiently implemented.","10.1109/TDMR.2012.2183873","77393","0.2666667"
"65","cold_topic_cluster_no_11","rank_3","75","Half-Quadratic-Based Iterative Minimization for Robust Sparse Representation","Robust sparse representation has shown significant potential in solving challenging problems in computer vision such as biometrics and visual surveillance. Although several robust sparse models have been proposed and promising results have been obtained, they are either for error correction or for error detection, and learning a general framework that systematically unifies these two aspects and explores their relation is still an open problem. In this paper, we develop a half-quadratic ( HQ) framework to solve the robust sparse representation problem. By defining different kinds of half-quadratic functions, the proposed HQ framework is applicable to performing both error correction and error detection. More specifically, by using the additive form of HQ, we propose an l(1)-regularized error correction method by iteratively recovering corrupted data from errors incurred by noises and outliers; by using the multiplicative form of HQ, we propose an l(1)-regularized error detection method by learning from uncorrupted data iteratively. We also show that the l(1)-regularization solved by soft-thresholding function has a dual relationship to Huber M-estimator, which theoretically guarantees the performance of robust sparse representation in terms of M-estimation. Experiments on robust face recognition under severe occlusion and corruption validate our framework and findings.","10.1109/TPAMI.2013.102","71590","0.2685393"
"66","cold_topic_cluster_no_11","rank_4","33","Augmentation of Noise Free Speech Recognizer using Adaptive Microphone Array","This paper describes the design and implementation of a 5-channel microphone array that is an adaptive beamformer used for hands-free telephony in a noisy environment. The microphone signals are amplified, and then sent to an A/D converter. The microprocessor board takes the data from the 5 channels and utilizes digital signal processing to determine the direction-of-arrival of the sources and create an output which steers the microphone array to the desired look direction while trying to minimize the energy of interference sources and noise.","","86514","0.2105263"
"67","cold_topic_cluster_no_11","rank_4","33","Coherent noise suppression by learning and analyzing the morphology of the data","We have developed a method for suppressing coherent noise from seismic data by using the morphological differences between the noise and the signal. This method consists of three steps: First, we applied a dictionary learning method on the data to extract a redundant dictionary in which the morphological diversity of the data is stored. Such a dictionary is a set of unit vectors called atoms that represent elementary patterns that are redundant in the data. Because the dictionary is learned on data contaminated by coherent noise, it is a mix of atoms representing signal patterns and atoms representing noise patterns. In the second step, we separate the noise atoms from the signal atoms using a statistical classification. Hence, the learned dictionary is divided into two subdictionaries: one describing the morphology of the noise and the other one describing the morphology of the signal. Finally, we separate the seismic signal and the coherent noise via morphological component analysis (MCA); it uses sparsity with respect to the two subdictionaries to identify the signal and the noise contributions in the mixture. Hence, the proposed method does not use prior information about the signal and the noise morphologies, but it entirely adapts to the signal and the noise of the data. It does not require a manual search for adequate transforms that may sparsify the signal and the noise, in contrast to existing MCA-based methods. We develop an application of the proposed method for removing the mechanical noise from a marine seismic data set. For mechanical noise that is coherent in space and time, the results show that our method provides better denoising in comparison with the standard FX-Decon, FX-Cadzow, and the curvelet-based denoising methods.","10.1190/GEO2017-0092.1","43501","0.2107843"
"68","cold_topic_cluster_no_11","rank_4","33","Noise adaptive switching median-based filter for impulse noise removal from extremely corrupted images","In this study an approach to impulse noise removal is presented. The introduced algorithm is a switching filter which identifies the noisy pixels and then corrects them by using median filter. In order to identify pixels corrupted by noise an analysis of local intensity extrema is applied. Comprehensive analysis of the algorithm performance [in terms of peak signal-to-noise ratio (PSNR) and Structural SIMilarity (SSIM) index] is presented. Results obtained on wide range of noise corruption (up to 98%) are shown and discussed. Moreover, comparison with well-established methods for impulse noise removal is provided. Presented results reveal that the proposed algorithm outperforms other approaches to impulse noise removal and its performance is close to ideal switching median filter. For high noise densities, the method correctly detects up to 100% of noisy pixels.","10.1049/iet-ipr.2009.0178","79773","0.2132075"
"69","cold_topic_cluster_no_11","rank_4","33","Cauchy greedy algorithm for robust sparse recovery and multiclass classification","Greedy algorithms have attracted considerable interest for sparse signal recovery (SSR) due to their appealing efficiency and performance recently. However, conventional greedy algorithms utilize the l(2) norm based loss function and suffer from severe performance degradation in the presence of gross corruption and outliers. Furthermore, they cannot be directly applied to the recovery of quaternion sparse signals due to the noncommutativity of quaternion multiplication. To alleviate these problems, we propose a robust greedy algorithm referred as Cauchy matching pursuit (CauchyMP) for SSR and extend it for quaternion SSR. By leveraging the Cauchy estimator and generalizing it to the quaternion space to measure the residual error, our method can robustly recover the sparse signal in both real and quaternion space from noisy data corrupted by various severe noises and outliers. To tackle the resulting quaternion optimization problem, we develop an efficient half-quadratic optimization algorithm by introducing two quaternion operators. In addition, we have also devised a CauchyMP based classifier termed CauchyMPC for robust multiclass classification. The experiments on both synthetic and real-world datasets validate the efficacy and robustness of the proposed methods for SSR, block SSR, quaternion SSR and multiclass classification. ","10.1016/j.sigpro.2019.06.006","20973","0.2218182"
"70","cold_topic_cluster_no_11","rank_4","33","Perceptual reinforcement of speech signal based on partial specific loudness","In the presence of background noise, the perceptual loudness of speech signal significantly decreases, resulting in the deterioration of intelligibility and clarity. In this letter, we propose a novel approach to enhance the perceived quality of the speech signal when the additive noise cannot be directly controlled. Instead of controlling the background noise, we propose to reinforce the speech signal so that it can be heard more clearly in noisy environments. To find a suitable reinforcement rule, the loudness perception model proposed by Moore et al. [1] is adopted. Experimental results show that the loudness of the reinforced signal can be maintained at the level almost the same as that of the original noise-free speech, and the proposed algorithm can enhance the perceived speech quality under various noise environments.","10.1109/LSP.2007.900222","86331","0.2384615"
"71","cold_topic_cluster_no_11","rank_5","485","Parameter Identification by Statistical Learning of a Stochastic Dynamical System Modelling a Fishery with price variation","In this short paper we report on an inverse problem for parameter setting of a model used for the modelling of fishing on the West African coast. We compare the solution of this inverse problem by a Neural Network with the more classical algorithms of optimisation and stochastic control. The Neural Network does much better.","10.5802/crmath.2","16899","0.1500000"
"72","cold_topic_cluster_no_11","rank_5","485","On a sustainability interval index and its computation through global optimization","Prior sustainability models have taken exact basic indicator (BI) values of an entity's sustainability and computed an exact value of the entity's sustainability index. However, BI values are either uncertain or difficult to obtain. In this work, we propose a novel approach that transforms BI data in the form of intervals containing all possible BI values to an interval containing all possible values of the sustainability index. This interval is termed the sustainability index interval (SII). Computation of the SII is achieved through solution of a minimization and a maximization problem using global optimization techniques. Although the underlying global optimization problems are nonconvex, they are shown to possess a number of properties that can be utilized to reduce the burden associated with SII's computation. Based on these properties, a branch-and-bound algorithm is developed, which exactly quantifies the SII in a finite number of iterations. ","10.1002/aic.12777","76879","0.1523810"
"73","cold_topic_cluster_no_11","rank_5","485","APPROXIMATE SOLUTION OF THE SMOOTH TRANSITION EQUATION","The problems of stability and the approximate solution of the integral smooth transition equation first introduced and studied by Yu.I. Chersky are considered. Using the solution of the smooth transition equation under classical assumptions, it is possible to construct the solution of the equation under weaker constraints on the kernels. For the approximate solution, an error estimation and a theorem on the uniqueness and sustainability are provided.","10.33048/semi.2020.17.125","16660","0.1714286"
"74","cold_topic_cluster_no_11","rank_5","485","Systematic Analysis of Alternative Splicing Landscape in Pancreatic Adenocarcinoma Reveals Regulatory Network Associated with Tumorigenesis and Immune Response","Background: Pancreatic ductal adenocarcinoma (PDAC) is one of the most aggressive gastrointestinal tumors and has an extremely high mortality rate. Recent studies indicate that alternative splicing (AS), a common post-transcriptional process, has important roles in tumor biological behaviors and may provide novel immunotherapeutic targets. This study systematically analyzes AS profiles in PDAC and reveals their potential regulatory effects on cancer immune response. Material/Methods: AS event, RNA sequencing, and splicing factor (SF) data were extracted from SpliceSeq, The Cancer Genome Atlas, and SpliceAid2, respectively. Overall survival (OS)-associated AS events and SFs were identified with univariate analysis. The LASSO method and multivariate Cox regression analysis were used to construct predictive signatures for the prediction of patient prognosis. The proportions of immune cells within PDAC samples were evaluated using the CIBERSORT algorithm. The correlations among AS events, SFs, and immune cell proportions were calculated using Spearman correlation analysis. Consensus clustering and immune classification were performed on the PDAC cohort. Results: A total of 4812 OS-related AS events from 3341 parent genes were identified, and 8 AS-based predictive models were constructed for PDAC. An OS-related SF-AS regulatory network was constructed. The AS events regulated by ELAVL4 exhibited strong correlations with CD8 T cells and regulatory T cells. In addition, AS-based clusters demonstrated distinct OS outcomes and immune features. Conclusions: AS-based predictive models with high accuracy were constructed to facilitate prognosis prediction and treatment of PDAC An SF-AS regulatory network was constructed, revealing the potential relationships among SF, AS, and immune response.","10.12659/MSM.925733"," 7840","0.1786765"
"75","cold_topic_cluster_no_11","rank_5","485","Sparse multichannel blind deconvolution","We developed a sparse multichannel blind deconvolution (SMBD) method. The method is a modification of the multichannel blind deconvolution technique often called Euclid deconvolution, in which the multichannel impulse response of the earth is estimated by solving an homogeneous system of equations. Classical Euclid deconvolution is unstable in the presence of noise and requires the correct estimation of the length of the seismic wavelet. The proposed method, on the other hand, can tolerate moderate levels of noise and does not require a priori knowledge of the length of the wavelet. SMBD solves the homogeneous system of equations arising in Euclid deconvolution by imposing sparsity on the unknown multichannel impulse response. Trivial solutions to the aforementioned homogeneous system of equations are avoided by seeking sparse solutions on the unit sphere. We tested SMBD with synthetic and real data examples. Synthetic examples were used to judge the viability of the method in terms of noise. We found that SMBD gives reasonable estimates of the wavelet and reflectivity series for S/N >= 4. The results clearly deteriorated when we tried to work on data that were severely contaminated by noise. A real marine data set was also used to test SMBD. In this case, the estimated wavelet was compared with a wavelet estimated by averaging first breaks. The estimated wavelet showed a noticeable resemblance to the average first break with normalized correlation coefficient of 0.92.","10.1190/GEO2013-0465.1","69364","0.3044643"
"76","cold_topic_cluster_no_12","rank_1","243","Assimilation of the satellite SST data in the 3D CEMBS model","The 3D CEMBS (3D Coupled Ecosystem Model of the Baltic Sea) is a coupled ecosystem model of the Baltic Sea. In operational mode it computes 48-h forecasts of the hydrodynamic and biochemical parameters describing the Baltic Sea state. The Cressman assimilation scheme was implemented as part of the system in order to improve overall model accuracy. The system uses satellite-measured sea surface temperature from the MODIS Aqua spectroradiometer for the assimilation process. The satellite measured SST is obtained from a predefined server, which is part of the Satellite Monitoring of the Baltic Sea Environment project (SatBattyk). To validate the model results and the impact of assimilation on the model's accuracy, two separate test runs were performed using historical data covering the years 2011 and 2012. Independent computations were performed for the model with and without satellite SST assimilation, respectively referred to in this paper as 3D CEMBS_A and 3D CEMBS. The results of the computations were then compared with satellite and in situ measured data to validate the model and the assimilation scheme's implementation. The objective of this paper is to describe the implementation of the satellite SST data assimilation algorithm and to present the results of the preliminary validation of the models with observations. ","10.1016/j.oceano.2014.07.001","68187","0.2210526"
"77","cold_topic_cluster_no_12","rank_1","243","Single star Doppler passive positioning accuracy analysis and processing based on sea state sensor","Marine state information is important in many areas of research, e.g. marine monitoring, marine weather forecast and climate forewarning, and this information can be collected by ocean buoys. In the process of measurement, Doppler passive positioning is used to determine the position of the buoy. This paper aims to identify the factors that influence the buoy positioning accuracy. It is derived from the error formula that the positioning accuracy of the buoy is related to the relative position error between satellite and buoy, satellite orbit error, and frequency measurement error. In the simulation, satellite ephemeris data are generated, the iterative location algorithm is used to get the location of buoy, and noises are analyzed at last. We find that the relative position and frequency measurement error have a significant impact on the positioning accuracy of the buoy. Therefore, in order to improve the buoy positioning accuracy, it is necessary to select a satellite position that is near the radiation source but not directly above it. Improving the frequency measurement accuracy will also greatly enhance the positioning accuracy. ","10.1016/j.measurement.2020.107555","13024","0.2269231"
"78","cold_topic_cluster_no_12","rank_1","243","Assimilation of SeaWiFS data into a global ocean-biogeochemical model using a local SEIK filter","Chlorophyll data from the Sea-viewing Wide Field-of-view Sensor (SeaWiFS) is assimilated into the three-dimensional global NASA Ocean Biogeochemical Model (NOBM) for the period 1998-2004 in order to obtain an improved representation of chlorophyll in the model. The assimilation is performed by the SEIK filter, which is based on the Kalman filter algorithm. The filter is implemented to univariately correct the concentration of surface total chlorophyll. A localized filter analysis is used and the filter is simplified by using a static state error covariance matrix. The assimilation provides daily global surface chlorophyll fields and improves the chlorophyll estimates relative to a model simulation without assimilation. The comparison with independent in situ data over the seven years also shows a significant improvement of the chlorophyll estimate. The assimilation reduces the RMS log error of total chlorophyll from 0.43 to 0.32, while the RMS log error is 0.28 for the in situ data considered. That is, the global RMS log error of chlorophyll estimated by the model is reduced by the assimilation from 53% to 13% above the error of SeaWiFS. Regionally, the assimilation estimate exhibits smaller errors than SeaWiFS data in several oceanic basins. ","10.1016/j.jmarsys.2006.11.009","86351","0.2313953"
"79","cold_topic_cluster_no_12","rank_1","243","Comparison and assimilation of global soil moisture retrievals from the Advanced Microwave Scanning Radiometer for the Earth Observing System (AMSR-E) and the Scanning Multichannel Microwave Radiometer (SMMR)","[1] Two data sets of satellite surface soil moisture retrievals are first compared and then assimilated into the NASA Catchment land surface model. The first satellite data set is derived from 4 years of X-band (10.7 GHz) passive microwave brightness temperature observations by the Advanced Microwave Scanning Radiometer for the Earth Observing System (AMSR-E), and the second is from 9 years of C-band (6.6 GHz) brightness temperature observations by the Scanning Multichannel Microwave Radiometer (SMMR). Despite the similarity in the satellite instruments, the retrieved soil moisture data exhibit very large differences in their multiyear means and temporal variability, primarily because they are computed with different retrieval algorithms. The satellite retrievals are also compared to a soil moisture product generated by the NASA Catchment land surface model when driven with surface meteorological data derived from observations. The climatologies of both satellite data sets are different from those of the model products. Prior to assimilation of the satellite retrievals into the land model, satellite-model biases are removed by scaling the satellite retrievals into the land model's climatology through matching of the respective cumulative distribution functions. Validation against in situ data shows that for both data sets the soil moisture fields from the assimilation are superior to either satellite data or model data alone. A global analysis of the innovations ( defined as the difference between the observations and the corresponding model values prior to the assimilation update) reveals how changes in model and observations error parameters may enhance filter performance in future experiments.","10.1029/2006JD008033","86797","0.2898148"
"80","cold_topic_cluster_no_12","rank_1","243","1st Snow Data Assimilation Workshop in the framework of COST HarmoSnow ESSEM 1404","The 1st Snow Data Assimilation Workshop, organized under the COST Action ESSEM 1404 HarmoSnow, took place in Offenbach, Germany, on 8-9 March 2017. Of particular relevance for the workshop were thematic sessions on i) data assimilation methods and the use of snow observations, ii) snow observations and evaluation, iii) snow observations and physical snow models, and iv) snow observations and hydrological models. This report summarizes the scientific contributions presented at the workshop. The discussions mainly focused on methods for combining satellite observations with conventional in-situ snow measurements and modeling results, as well as on errors in the spatial and temporal representation of snow measurements for data assimilation in NWP and hydrological models. It has been shown that the assimilation of in-situ and satellite-based snow observations improves the quality of the snow analysis and forecast. However, in order to achieve this positive impact, a thorough quality control of the observational data is necessary, in particular because of the automation of the ground-based networks.","10.1127/metz/2018/0906","41041","0.3119403"
"81","cold_topic_cluster_no_12","rank_2","55","A Framework for Estimating Clear-Sky Atmospheric Total Precipitable Water (TPW) from VIIRS/S-NPP","Atmospheric water vapor content or total precipitable water (TPW) is a highly variable atmospheric constituent, yet it remains one of the meteorological parameters that is most difficult to characterize accurately. We develop a framework for estimating atmospheric TPW from Visible Infrared Imaging Radiometer Suite (VIIRS) data in this study. First, TPW is retrieved from VIIRS top-of-atmosphere (TOA) radiance of channels 15 and 16 using the refined split-window covariance-variance ratio (SWCVR) method. Then, the VIIRS TPW is blended with the microwave integrated retrieval system (MIRS) derived TPW via Bayesian model averaging (BMA) to improve the accuracy of VIIRS TPW. Three years (2014-2017) of ground measurements collected from SuomiNet sites over North America are used to validate the VIIRS TPW and blended TPW. The mean bias error (MBE) and root mean square error (RMSE) of the VIIRS TPW are 0.21 g/cm(2) and 0.73 g/cm(2), respectively, and the accuracy of the VIIRS TPW in daytime is much better than at night time. The MBE and RMSE of BMA integrated TPW are 0.06 g/cm(2) and 0.35 g/cm(2), and the accuracy difference between daytime and nighttime is also removed. The global radiosonde measurements are also collected to validate the BMA integrated VIIRS TPW. The MBE and RMSE of the BMA integrated TPW are 0.09 g/cm(2) and 0.44 g/cm(2) compared to the radiosonde measurements. This accuracy is also superior to the VIIRS TPW. Therefore, it is concluded that the developed framework can be used to derive accurate clear-sky TPW for VIIRS. This is the first time that we can obtain high accuracy TPW from VIIRS. This study will certainly benefit the study of atmospheric processes and climate change.","10.3390/rs11080916","27309","0.2622047"
"82","cold_topic_cluster_no_12","rank_2","55","An Overview of the Science Performances and Calibration/Validation of Joint Polar Satellite System Operational Products","The Suomi National Polar-orbiting Partnership (S-NPP) satellite, launched in October 2011, initiated a series of the next-generation weather satellites for the National Oceanic and Atmospheric Administration (NOAA) Joint Polar Satellite System (JPSS) program. The JPSS program at the Center for Satellite Applications and Research (JSTAR) leads the development of the algorithms, the calibration and validation of the products to meet the specified requirements, and long-term science performance monitoring and maintenance. All of the S-NPP products have been validated and are in successful operation. The recently launched JPSS-1 (renamed as NOAA-20) satellite is producing high-quality data products that have been available from S-NPP, along with additional products, as a direct result of the instrument upgrades and science improvements. This paper presents an overview of the JPSS product suite, the performance metrics achieved for the S-NPP, and the utilization of the products by NOAA stakeholders and user agencies worldwide. The status of NOAA-20 science data products and ongoing calibration/validation (Cal/Val) efforts are discussed for user awareness. In addition, operational implementation statuses of JPSS enterprise (multisensor and multiplatform) science algorithms for product generation and science product reprocessing efforts for the S-NPP mission are discussed.","10.3390/rs11060698","28301","0.2657407"
